"Cod_IBGE","Grande região","Município","Mun_Total de casos","Mun_Total de óbitos"
"3500105","Interior","Adamantina","6013","158"
"3500204","Interior","Adolfo","637","22"
"3500303","Interior","Aguaí","5123","124"
"3500402","Interior","Águas da Prata","1198","33"
"3500501","Interior","Águas de Lindóia","3677","57"
"3500550","Interior","Águas de Santa Bárbara","610","21"
"3500600","Interior","Águas de São Pedro","470","15"
"3500709","Interior","Agudos","5292","114"
"3500758","Interior","Alambari","837","13"
"3500808","Interior","Alfredo Marcondes","291","15"
"3500907","Interior","Altair","317","17"
"3501004","Interior","Altinópolis","1204","62"
"3501103","Interior","Alto Alegre","407","23"
"3501152","Interior","Alumínio","1653","55"
"3501202","Interior","Álvares Florence","639","17"
"3501301","Interior","Álvares Machado","3177","85"
"3501400","Interior","Álvaro de Carvalho","333","9"
"3501509","Interior","Alvinlândia","148","9"
"3501608","Interior","Americana","27638","927"
"3501707","Interior","Américo Brasiliense","4834","103"
"3501806","Interior","Américo de Campos","1277","36"
"3501905","Interior","Amparo","9847","241"
"3502002","Interior","Analândia","467","5"
"3502101","Interior","Andradina","9860","298"
"3502200","Interior","Angatuba","3252","84"
"3502309","Interior","Anhembi","394","11"
"3502408","Interior","Anhumas","395","9"
"3502507","Interior","Aparecida","2945","120"
"3502606","Interior","Aparecida d'Oeste","1265","22"
"3502705","Interior","Apiaí","1786","100"
"3502754","Interior","Araçariguama","2564","75"
"3502804","Interior","Araçatuba","38905","969"
"3502903","Interior","Araçoiaba da Serra","3186","94"
"3503000","Interior","Aramina","383","20"
"3503109","Interior","Arandu","658","22"
"3503158","Interior","Arapeí","271","4"
"3503208","Interior","Araraquara","24311","581"
"3503307","Interior","Araras","19485","422"
"3503356","Interior","Arco-Íris","179","8"
"3503406","Interior","Arealva","1443","22"
"3503505","Interior","Areias","363","2"
"3503604","Interior","Areiópolis","1699","28"
"3503703","Interior","Ariranha","1030","34"
"3503802","Interior","Artur Nogueira","7403","151"
"3503950","Interior","Aspásia","321","9"
"3504008","Interior","Assis","13498","437"
"3504107","Interior","Atibaia","12839","310"
"3504206","Interior","Auriflama","2254","82"
"3504305","Interior","Avaí","734","13"
"3504404","Interior","Avanhandava","1234","47"
"3504503","Interior","Avaré","12465","295"
"3504602","Interior","Bady Bassitt","4370","89"
"3504701","Interior","Balbinos","557","4"
"3504800","Interior","Bálsamo","2239","70"
"3504909","Interior","Bananal","1134","4"
"3505005","Interior","Barão de Antonina","522","11"
"3505104","Interior","Barbosa","877","23"
"3505203","Interior","Bariri","3453","138"
"3505302","Interior","Barra Bonita","5048","120"
"3505351","Interior","Barra do Chapéu","453","11"
"3505401","Interior","Barra do Turvo","743","24"
"3505500","Interior","Barretos","19871","607"
"3505609","Interior","Barrinha","1728","82"
"3505807","Interior","Bastos","2182","53"
"3505906","Interior","Batatais","6621","192"
"3506003","Interior","Bauru","65347","1355"
"3506102","Interior","Bebedouro","4954","325"
"3506201","Interior","Bento de Abreu","504","5"
"3506300","Interior","Bernardino de Campos","1767","37"
"3506359","Interior","Bertioga","7150","183"
"3506409","Interior","Bilac","961","22"
"3506508","Interior","Birigui","19392","629"
"3506706","Interior","Boa Esperança do Sul","2586","24"
"3506805","Interior","Bocaina","2159","37"
"3506904","Interior","Bofete","1636","24"
"3507001","Interior","Boituva","6992","204"
"3507100","Interior","Bom Jesus dos Perdões","2486","32"
"3507159","Interior","Bom Sucesso de Itararé","261","7"
"3507209","Interior","Borá","161","1"
"3507308","Interior","Boracéia","1027","26"
"3507407","Interior","Borborema","2434","54"
"3507456","Interior","Borebi","293","4"
"3507506","Interior","Botucatu","32595","345"
"3507605","Interior","Bragança Paulista","25302","613"
"3507704","Interior","Braúna","629","26"
"3507753","Interior","Brejo Alegre","557","13"
"3507803","Interior","Brodowski","3134","82"
"3507902","Interior","Brotas","2725","73"
"3508009","Interior","Buri","3095","98"
"3508108","Interior","Buritama","4453","83"
"3508207","Interior","Buritizal","357","10"
"3508306","Interior","Cabrália Paulista","755","9"
"3508405","Interior","Cabreúva","5645","147"
"3508504","Interior","Caçapava","10868","305"
"3508603","Interior","Cachoeira Paulista","3390","51"
"3508702","Interior","Caconde","2066","43"
"3508801","Interior","Cafelândia","840","55"
"3508900","Interior","Caiabu","325","8"
"3509106","Interior","Caiuá","430","12"
"3509254","Interior","Cajati","5662","107"
"3509304","Interior","Cajobi","1648","36"
"3509403","Interior","Cajuru","2014","60"
"3509452","Interior","Campina do Monte Alegre","629","26"
"3509502","Interior","Campinas","130134","4877"
"3509601","Interior","Campo Limpo Paulista","6493","307"
"3509700","Interior","Campos do Jordão","7041","156"
"3509809","Interior","Campos Novos Paulista","312","11"
"3509908","Interior","Cananéia","1313","33"
"3509957","Interior","Canas","226","6"
"3510005","Interior","Cândido Mota","6336","176"
"3510104","Interior","Cândido Rodrigues","144","7"
"3510153","Interior","Canitar","1177","27"
"3510203","Interior","Capão Bonito","6648","173"
"3510302","Interior","Capela do Alto","1684","41"
"3510401","Interior","Capivari","5887","114"
"3510500","Interior","Caraguatatuba","21720","509"
"3510708","Interior","Cardoso","2206","66"
"3510807","Interior","Casa Branca","4389","111"
